Brand,Processor,RAM (GB),Storage (GB),GPU,Screen Size (inches),Battery Life (hours),Price (INR)
MSI,Ryzen 9,8,512,GTX 1650,14.0,8,116000
Acer,Intel i9,8,2048,RTX 4070,15.6,12,161000
Dell,Ryzen 9,4,512,Integrated,13.0,7,93000
Acer,Ryzen 5,32,512,RTX 4060,17.0,7,139000
MSI,Intel i5,16,512,RTX 4070,14.0,4,112000
Dell,Intel i9,4,1024,GTX 1650,15.6,9,118000
HP,Intel i9,4,1024,RTX 4060,14.0,12,128000
Asus,Intel i7,16,256,RTX 3050,13.0,11,112000
Dell,Ryzen 7,16,256,GTX 1650,13.0,8,107000
Dell,Ryzen 3,4,256,RTX 4090,16.0,4,78000
HP,Ryzen 9,32,1024,Integrated,15.6,11,159000
Dell,Ryzen 5,32,256,RTX 4080,14.0,6,144000
HP,Ryzen 7,32,256,RTX 4090,14.0,8,164000
HP,Intel i7,16,512,RTX 4060,13.0,9,122000
Lenovo,Intel i9,8,2048,Integrated,15.6,4,131000
Acer,Intel i3,32,256,RTX 4090,14.0,12,134000
Acer,Ryzen 3,16,2048,Integrated,14.0,6,97000
Apple,Intel i3,32,256,RTX 4060,16.0,5,149000
Dell,Intel i7,4,256,Integrated,16.0,12,68000
Lenovo,Ryzen 9,16,256,GTX 1650,16.0,7,127000
Dell,Intel i5,8,256,RTX 4070,14.0,5,91000
HP,Intel i7,32,1024,RTX 4070,15.6,4,169000
Dell,Ryzen 5,4,1024,Integrated,15.6,8,68000
Dell,Ryzen 5,8,512,RTX 4090,15.6,11,106000
Apple,Intel i3,8,512,Integrated,17.0,12,81000
HP,Intel i9,16,256,RTX 4080,16.0,8,147000
Acer,Ryzen 9,4,512,RTX 4090,16.0,8,133000
Acer,Intel i3,4,2048,RTX 4090,14.0,9,113000
Dell,Ryzen 9,32,512,GTX 1650,17.0,6,164000
Acer,Ryzen 3,16,512,Integrated,14.0,9,67000
Dell,Intel i3,16,512,RTX 4060,16.0,6,92000
Asus,Ryzen 5,16,2048,Integrated,14.0,11,112000
Dell,Ryzen 5,4,256,RTX 4090,13.0,8,93000
Dell,Intel i9,8,512,RTX 4080,14.0,6,136000
Apple,Ryzen 9,8,512,RTX 4080,13.0,11,166000
HP,Ryzen 7,4,1024,Integrated,14.0,5,83000
Acer,Ryzen 5,32,256,RTX 4090,16.0,7,149000
Apple,Intel i3,16,256,RTX 4080,17.0,4,127000
Apple,Intel i5,16,2048,RTX 4070,14.0,12,172000
MSI,Intel i9,4,2048,RTX 4080,14.0,7,158000
Asus,Intel i9,8,1024,RTX 4060,14.0,7,136000
Apple,Intel i3,16,256,Integrated,15.6,6,92000
Asus,Ryzen 9,4,512,RTX 4070,13.0,11,123000
Lenovo,Ryzen 5,8,512,RTX 4080,15.6,9,101000
HP,Ryzen 9,4,256,RTX 4090,14.0,8,128000
MSI,Intel i3,4,256,Integrated,16.0,12,38000
HP,Intel i9,32,2048,RTX 4080,15.6,12,214000
HP,Ryzen 7,4,2048,RTX 3050,17.0,4,123000
Acer,Ryzen 9,16,256,RTX 4080,13.0,7,147000
Asus,Intel i5,8,256,RTX 4070,14.0,11,91000
Lenovo,Intel i7,8,512,RTX 3050,13.0,11,101000
MSI,Intel i3,8,1024,RTX 4080,17.0,11,96000
MSI,Intel i7,8,2048,RTX 4060,17.0,11,136000
Acer,Ryzen 3,16,256,Integrated,16.0,7,62000
MSI,Intel i5,4,512,RTX 3050,16.0,11,78000
Dell,Ryzen 7,4,512,RTX 4060,14.0,6,98000
Apple,Intel i5,8,256,RTX 3050,16.0,10,111000
Apple,Ryzen 3,32,512,RTX 4060,15.6,4,154000
Acer,Ryzen 5,16,256,GTX 1650,14.0,7,92000
Dell,Ryzen 3,32,256,RTX 3050,16.0,10,114000
MSI,Intel i9,32,256,RTX 4060,13.0,8,169000
Acer,Intel i3,4,512,RTX 4060,13.0,10,68000
Dell,Intel i9,8,256,RTX 4080,16.0,12,131000
Apple,Intel i9,8,2048,RTX 4090,16.0,6,201000
Asus,Ryzen 9,4,256,RTX 4070,14.0,8,118000
Dell,Intel i9,32,2048,RTX 4090,16.0,12,219000
Asus,Ryzen 9,8,256,GTX 1650,17.0,5,111000
Asus,Ryzen 3,32,1024,Integrated,14.0,7,109000
Asus,Ryzen 3,8,256,RTX 4090,16.0,6,86000
HP,Ryzen 9,4,512,RTX 4070,16.0,10,123000
Asus,Ryzen 5,32,256,RTX 4070,16.0,4,139000
Dell,Ryzen 7,4,512,RTX 3050,16.0,11,93000
HP,Ryzen 7,32,256,RTX 4070,14.0,7,154000
MSI,Intel i5,4,1024,RTX 3050,17.0,8,88000
MSI,Ryzen 9,8,256,RTX 4090,15.6,8,136000
MSI,Intel i5,4,1024,RTX 3050,15.6,9,88000
Acer,Ryzen 5,4,512,RTX 4060,14.0,6,83000
Acer,Ryzen 5,8,1024,RTX 3050,16.0,9,96000
Dell,Ryzen 5,4,1024,RTX 3050,16.0,7,88000
Acer,Ryzen 5,4,256,RTX 4060,15.6,6,78000
Apple,Intel i7,4,2048,RTX 4060,13.0,8,158000
Apple,Intel i7,8,512,RTX 4080,13.0,12,146000
Asus,Intel i5,16,2048,RTX 4070,13.0,8,142000
MSI,Intel i5,4,2048,RTX 4090,13.0,4,128000
Acer,Intel i9,32,1024,RTX 4090,15.6,6,199000
Dell,Intel i9,32,256,RTX 4080,15.6,6,179000
Acer,Ryzen 3,8,256,RTX 4080,13.0,5,81000
Dell,Intel i5,4,256,RTX 3050,14.0,9,73000
MSI,Ryzen 5,16,2048,RTX 4070,16.0,12,142000
Lenovo,Ryzen 7,32,512,GTX 1650,16.0,10,144000
HP,Intel i9,32,256,RTX 3050,15.6,6,164000
MSI,Ryzen 7,16,256,GTX 1650,17.0,8,107000
Lenovo,Ryzen 7,8,2048,RTX 4070,15.6,12,141000
HP,Ryzen 9,16,1024,GTX 1650,16.0,7,142000
HP,Ryzen 9,8,512,Integrated,17.0,5,101000
MSI,Ryzen 5,4,256,RTX 4060,15.6,4,78000
Apple,Intel i7,16,512,GTX 1650,17.0,5,142000
Asus,Ryzen 7,32,2048,Integrated,17.0,9,159000
Lenovo,Ryzen 3,32,1024,RTX 4080,13.0,12,144000
Dell,Ryzen 3,8,2048,RTX 3050,15.6,8,101000
Acer,Intel i5,16,512,RTX 4090,16.0,5,122000
MSI,Ryzen 7,4,2048,RTX 4060,17.0,6,128000
HP,Intel i7,4,256,RTX 4070,16.0,11,98000
Lenovo,Ryzen 7,16,256,Integrated,16.0,5,92000
MSI,Ryzen 3,16,512,RTX 4070,16.0,11,97000
Dell,Intel i7,32,2048,RTX 4070,14.0,4,189000
Apple,Intel i9,8,1024,RTX 4080,15.6,8,176000
MSI,Ryzen 7,16,256,RTX 4080,13.0,8,127000
Apple,Ryzen 3,8,1024,RTX 4090,15.6,12,131000
Acer,Ryzen 9,32,512,RTX 4090,15.6,10,189000
Apple,Ryzen 5,4,2048,Integrated,15.6,9,118000
Acer,Intel i9,8,2048,Integrated,14.0,9,131000
MSI,Ryzen 9,16,2048,RTX 4090,15.6,5,187000
Apple,Ryzen 5,32,1024,GTX 1650,15.6,6,169000
Asus,Ryzen 9,16,2048,RTX 4090,15.6,9,187000
Asus,Ryzen 9,4,512,RTX 3050,13.0,7,113000
Acer,Ryzen 5,8,512,RTX 4060,13.0,5,91000
Acer,Ryzen 5,4,2048,RTX 4060,15.6,6,113000
MSI,Ryzen 5,16,256,RTX 4090,14.0,12,117000
Apple,Intel i7,4,256,GTX 1650,15.6,7,113000
MSI,Intel i9,16,512,Integrated,15.6,7,117000
Asus,Ryzen 7,32,256,RTX 4080,13.0,5,159000
Lenovo,Ryzen 5,16,256,Integrated,16.0,4,77000
Apple,Intel i7,4,256,RTX 4070,13.0,8,128000
MSI,Intel i3,16,1024,RTX 4080,13.0,8,112000
Asus,Intel i3,32,256,RTX 3050,16.0,7,114000
Apple,Ryzen 7,8,2048,RTX 4070,13.0,6,171000
Acer,Intel i3,32,512,GTX 1650,16.0,6,114000
Asus,Ryzen 3,32,1024,Integrated,13.0,10,109000
Acer,Intel i9,16,1024,Integrated,14.0,11,127000
Dell,Ryzen 3,4,1024,GTX 1650,15.6,10,68000
Acer,Ryzen 5,16,2048,Integrated,14.0,9,112000
Asus,Ryzen 7,16,256,Integrated,14.0,7,92000
Acer,Intel i5,32,1024,GTX 1650,13.0,7,139000
MSI,Intel i7,32,256,RTX 3050,15.6,11,144000
Dell,Ryzen 3,32,2048,RTX 4090,16.0,8,169000
Asus,Ryzen 3,4,1024,RTX 4070,13.0,4,83000
MSI,Intel i5,16,512,GTX 1650,16.0,10,97000
Asus,Intel i3,4,256,RTX 4070,17.0,6,68000
Asus,Ryzen 9,8,2048,GTX 1650,15.6,9,146000
HP,Ryzen 9,8,256,RTX 4060,16.0,8,121000
MSI,Ryzen 9,8,256,RTX 4090,13.0,7,136000
MSI,Ryzen 9,32,512,Integrated,17.0,12,149000
Asus,Ryzen 5,4,1024,GTX 1650,17.0,12,83000
Dell,Intel i3,16,512,RTX 4070,14.0,4,97000
Dell,Intel i5,8,1024,RTX 4060,13.0,5,101000
Asus,Intel i3,32,2048,RTX 4070,15.6,11,159000
Apple,Intel i5,8,1024,Integrated,17.0,7,106000
Dell,Ryzen 9,4,1024,RTX 3050,17.0,7,123000
Acer,Ryzen 3,32,2048,RTX 4080,17.0,5,164000
Asus,Intel i9,4,256,RTX 4060,14.0,12,113000
Lenovo,Ryzen 7,4,2048,RTX 4080,17.0,4,138000
MSI,Ryzen 3,16,512,RTX 4080,15.6,6,102000
HP,Ryzen 7,32,512,RTX 4070,15.6,6,159000
Acer,Ryzen 7,16,1024,RTX 4080,14.0,8,142000
Apple,Ryzen 5,4,512,RTX 4090,13.0,11,128000
Asus,Ryzen 5,8,1024,RTX 4080,13.0,4,111000
Asus,Intel i9,32,1024,RTX 3050,14.0,4,179000
Lenovo,Ryzen 5,8,256,RTX 4070,13.0,9,91000
Lenovo,Ryzen 3,16,256,RTX 4090,15.6,4,102000
Acer,Ryzen 9,32,2048,RTX 4080,17.0,4,214000
Apple,Ryzen 9,16,256,RTX 4060,15.6,10,167000
Dell,Ryzen 5,32,1024,RTX 4080,13.0,5,159000
Asus,Ryzen 9,32,1024,Integrated,13.0,8,159000
Lenovo,Ryzen 5,16,1024,RTX 4060,14.0,5,117000
Asus,Ryzen 5,16,1024,Integrated,16.0,10,92000
Lenovo,Ryzen 3,16,1024,RTX 4090,14.0,11,117000
MSI,Ryzen 5,32,512,RTX 4070,16.0,7,144000
Apple,Ryzen 7,16,1024,Integrated,15.6,11,137000
HP,Ryzen 7,16,512,RTX 3050,16.0,6,117000
Acer,Intel i3,8,512,RTX 4090,15.6,11,91000
Apple,Ryzen 7,8,512,GTX 1650,14.0,10,126000
Lenovo,Ryzen 7,16,2048,RTX 4070,17.0,4,157000
Lenovo,Intel i3,32,1024,GTX 1650,13.0,9,124000
Asus,Intel i7,16,1024,RTX 4090,13.0,9,147000
Apple,Ryzen 9,8,512,RTX 4070,14.0,6,161000
MSI,Intel i5,32,2048,RTX 4060,17.0,6,169000
Lenovo,Ryzen 3,32,256,GTX 1650,14.0,7,109000
Dell,Intel i5,4,512,RTX 4080,16.0,4,93000
Asus,Ryzen 5,8,1024,GTX 1650,17.0,6,91000
Lenovo,Ryzen 5,16,256,RTX 4070,17.0,10,107000
Acer,Ryzen 3,32,512,RTX 4060,15.6,7,124000
Asus,Ryzen 3,16,256,GTX 1650,14.0,8,77000
Dell,Ryzen 7,4,2048,RTX 4090,16.0,4,143000
MSI,Ryzen 3,16,1024,RTX 4070,17.0,7,107000
Acer,Ryzen 7,32,256,Integrated,15.6,7,124000
MSI,Intel i9,8,2048,Integrated,17.0,12,131000
Acer,Ryzen 3,4,2048,RTX 4060,15.6,9,98000
Apple,Intel i5,8,256,RTX 4060,15.6,8,116000
Lenovo,Intel i3,16,512,RTX 4070,15.6,4,97000
Lenovo,Intel i5,4,256,GTX 1650,16.0,11,68000
Lenovo,Intel i3,16,512,RTX 4070,14.0,12,97000
HP,Intel i9,8,512,Integrated,16.0,9,101000
MSI,Intel i5,4,256,RTX 4090,17.0,6,93000
Lenovo,Ryzen 3,4,256,RTX 3050,14.0,8,58000
Acer,Ryzen 7,8,256,Integrated,17.0,9,76000
Lenovo,Intel i9,4,512,RTX 4090,15.6,5,133000
Dell,Intel i7,32,256,RTX 4070,14.0,12,154000
Dell,Ryzen 9,8,1024,GTX 1650,15.6,11,126000
Asus,Intel i5,4,512,Integrated,16.0,12,58000
Asus,Intel i3,4,256,Integrated,17.0,11,38000
MSI,Ryzen 9,32,2048,GTX 1650,15.6,8,194000
HP,Intel i7,32,512,RTX 4090,13.0,10,169000
HP,Ryzen 9,4,1024,GTX 1650,14.0,6,118000
HP,Intel i7,4,1024,RTX 4060,15.6,10,108000
HP,Ryzen 3,32,1024,GTX 1650,16.0,9,124000
Acer,Ryzen 9,32,1024,GTX 1650,13.0,12,174000
Apple,Intel i5,8,2048,RTX 4060,15.6,7,151000
Acer,Intel i9,16,2048,RTX 4070,17.0,9,177000
Lenovo,Ryzen 7,8,1024,RTX 4060,13.0,11,116000
HP,Ryzen 3,8,512,GTX 1650,13.0,5,66000
HP,Intel i9,4,512,RTX 4070,15.6,6,123000
Acer,Ryzen 9,4,2048,RTX 4060,17.0,11,148000
Lenovo,Intel i3,32,256,RTX 3050,14.0,8,114000
Acer,Ryzen 3,8,512,Integrated,16.0,5,51000
MSI,Ryzen 5,16,256,RTX 4070,16.0,6,107000
Acer,Ryzen 7,16,256,RTX 4090,15.6,7,132000
HP,Intel i9,32,1024,RTX 4090,13.0,7,199000
HP,Intel i5,16,1024,RTX 4090,17.0,12,132000
Dell,Ryzen 3,8,2048,RTX 4080,15.6,6,116000
Dell,Intel i3,4,2048,RTX 3050,13.0,7,93000
Asus,Intel i5,32,1024,RTX 4080,15.6,4,159000
Lenovo,Intel i7,8,256,RTX 4080,13.0,9,111000
Asus,Ryzen 5,16,2048,Integrated,14.0,10,112000
MSI,Intel i7,32,1024,RTX 4060,13.0,6,164000
Lenovo,Intel i9,8,1024,RTX 4080,15.6,6,146000
Asus,Intel i7,32,1024,RTX 3050,15.6,8,159000
Acer,Ryzen 3,32,2048,RTX 4060,15.6,7,154000
Lenovo,Intel i3,16,1024,Integrated,13.0,9,77000
Acer,Ryzen 3,4,2048,RTX 3050,14.0,6,93000
Dell,Intel i3,16,256,RTX 4080,13.0,4,97000
Dell,Ryzen 9,4,256,RTX 4090,13.0,4,128000
Asus,Ryzen 7,8,256,Integrated,14.0,7,76000
Acer,Ryzen 7,16,256,RTX 4090,14.0,12,132000
Dell,Ryzen 7,32,2048,RTX 4070,16.0,8,189000
Asus,Ryzen 7,8,256,GTX 1650,14.0,6,91000
Dell,Intel i9,4,256,RTX 4090,15.6,10,128000
Asus,Intel i5,4,256,RTX 4060,13.0,5,78000
Asus,Intel i9,32,512,RTX 4060,13.0,9,174000
Asus,Ryzen 5,8,256,RTX 4090,13.0,10,101000
Acer,Intel i3,16,1024,RTX 4060,16.0,12,102000
Lenovo,Intel i9,16,2048,Integrated,16.0,11,147000
HP,Ryzen 3,8,2048,RTX 4070,17.0,4,111000
MSI,Ryzen 9,4,256,GTX 1650,15.6,5,103000
HP,Intel i5,16,256,RTX 4070,13.0,6,107000
MSI,Ryzen 5,8,1024,GTX 1650,13.0,10,91000
Asus,Ryzen 9,16,256,RTX 4090,16.0,4,152000
HP,Ryzen 9,8,256,RTX 4090,16.0,12,136000
Acer,Intel i5,4,256,Integrated,16.0,9,53000
HP,Ryzen 3,32,256,RTX 4060,13.0,4,119000
Asus,Ryzen 9,32,256,RTX 4070,13.0,12,174000
HP,Ryzen 5,4,256,RTX 4080,14.0,12,88000
Apple,Intel i5,32,1024,RTX 4060,14.0,11,179000
Apple,Ryzen 5,16,2048,Integrated,13.0,9,142000
Acer,Ryzen 3,4,1024,RTX 3050,15.6,9,73000
Asus,Intel i3,8,2048,RTX 3050,16.0,7,101000
HP,Ryzen 5,4,2048,Integrated,15.6,11,88000
Lenovo,Intel i9,16,256,Integrated,15.6,7,112000
Asus,Ryzen 3,16,1024,RTX 4090,15.6,12,117000
Asus,Ryzen 7,4,256,RTX 3050,14.0,4,88000
Asus,Ryzen 5,4,2048,RTX 4070,17.0,8,118000
Dell,Intel i3,32,1024,GTX 1650,14.0,8,124000
Acer,Intel i3,16,1024,RTX 3050,13.0,7,97000
Acer,Intel i3,32,1024,RTX 4080,13.0,5,144000
HP,Intel i3,32,1024,Integrated,16.0,4,109000
Asus,Intel i5,8,512,RTX 4090,17.0,9,106000
Asus,Intel i7,32,256,RTX 4060,15.6,10,149000
Asus,Ryzen 5,16,2048,RTX 4060,15.6,8,137000
Acer,Ryzen 3,32,256,RTX 3050,17.0,11,114000
MSI,Ryzen 9,4,2048,RTX 4070,13.0,12,153000
Lenovo,Ryzen 7,4,256,RTX 4060,13.0,9,93000
Lenovo,Intel i9,8,2048,GTX 1650,13.0,11,146000
Apple,Ryzen 9,16,1024,RTX 4080,17.0,12,192000
Acer,Intel i3,32,256,RTX 4080,14.0,9,129000
Dell,Intel i9,32,256,RTX 4070,16.0,6,174000
Acer,Intel i5,8,1024,RTX 4060,15.6,10,101000
Lenovo,Intel i9,16,512,Integrated,14.0,12,117000
Dell,Ryzen 9,32,2048,RTX 4080,14.0,10,214000
HP,Ryzen 3,8,1024,RTX 4090,17.0,4,101000
HP,Intel i5,32,2048,RTX 3050,15.6,12,164000
Lenovo,Intel i7,16,2048,RTX 4080,17.0,10,162000
Dell,Ryzen 9,32,512,GTX 1650,15.6,4,164000
HP,Intel i9,16,2048,GTX 1650,13.0,11,162000
HP,Ryzen 7,4,256,RTX 4080,14.0,10,103000
Dell,Ryzen 7,8,512,RTX 4080,17.0,9,116000
HP,Ryzen 5,4,256,RTX 4090,13.0,4,93000
Acer,Ryzen 7,32,256,RTX 4090,15.6,10,164000
Acer,Intel i3,16,512,RTX 3050,17.0,10,87000
MSI,Intel i9,16,2048,RTX 4070,13.0,4,177000
Acer,Intel i9,4,1024,GTX 1650,17.0,9,118000
Acer,Intel i3,8,2048,RTX 4090,17.0,11,121000
Lenovo,Ryzen 3,16,256,RTX 4070,16.0,11,92000
Asus,Ryzen 9,32,1024,RTX 4080,15.6,4,194000
HP,Ryzen 9,8,256,RTX 4060,13.0,5,121000
Asus,Ryzen 7,32,256,GTX 1650,13.0,10,139000
Apple,Ryzen 5,16,1024,RTX 3050,16.0,11,142000
Dell,Ryzen 9,8,256,RTX 3050,15.6,8,116000
Dell,Ryzen 5,8,512,RTX 3050,15.6,11,86000
Acer,Intel i7,8,256,Integrated,14.0,5,76000
Dell,Intel i5,32,1024,Integrated,14.0,4,124000
Asus,Intel i5,8,512,Integrated,15.6,5,66000
Acer,Intel i9,8,1024,RTX 4070,16.0,12,141000
Asus,Ryzen 3,8,1024,RTX 4090,13.0,7,101000
Lenovo,Ryzen 7,8,1024,RTX 3050,16.0,11,111000
Acer,Intel i9,4,256,RTX 4090,14.0,7,128000
Acer,Intel i5,8,512,RTX 4080,16.0,7,101000
Apple,Intel i5,8,256,GTX 1650,15.6,6,106000
Dell,Intel i5,32,2048,RTX 4090,16.0,10,184000
Dell,Ryzen 9,4,1024,RTX 4070,13.0,8,133000
Lenovo,Ryzen 7,4,256,GTX 1650,15.6,7,83000
Dell,Intel i5,4,1024,RTX 4070,13.0,12,98000
Apple,Ryzen 9,16,512,RTX 4060,17.0,9,172000
MSI,Intel i7,32,256,RTX 4060,15.6,8,149000
Lenovo,Intel i7,16,256,RTX 4090,13.0,7,132000
Lenovo,Ryzen 3,4,2048,RTX 3050,13.0,7,93000
Dell,Ryzen 3,8,512,GTX 1650,13.0,7,66000
Dell,Ryzen 9,8,1024,RTX 4080,16.0,5,146000
MSI,Intel i9,16,256,GTX 1650,15.6,5,127000
HP,Ryzen 3,32,256,RTX 4090,13.0,12,134000
Asus,Intel i7,16,1024,RTX 4080,17.0,7,142000
Lenovo,Ryzen 7,4,512,RTX 4070,15.6,6,103000
Asus,Intel i7,32,256,RTX 4060,16.0,10,149000
Lenovo,Intel i5,32,2048,RTX 4070,13.0,7,174000
Lenovo,Intel i3,16,512,RTX 3050,16.0,8,87000
HP,Intel i5,4,512,RTX 4090,15.6,9,98000
Apple,Ryzen 3,4,2048,RTX 4090,16.0,10,143000
Apple,Ryzen 7,4,1024,RTX 3050,14.0,8,133000
Asus,Intel i5,4,2048,RTX 4090,16.0,4,128000
Apple,Intel i5,8,2048,RTX 4080,13.0,12,161000
Acer,Ryzen 5,32,256,RTX 3050,17.0,6,129000
Apple,Intel i9,16,2048,Integrated,15.6,12,177000
MSI,Intel i7,4,2048,Integrated,17.0,9,103000
HP,Ryzen 5,8,256,RTX 4080,13.0,12,96000
MSI,Intel i7,8,2048,RTX 4090,15.6,12,151000
Lenovo,Ryzen 3,16,512,RTX 4060,14.0,10,92000
HP,Ryzen 5,16,512,Integrated,15.6,9,82000
Apple,Intel i9,8,1024,Integrated,13.0,10,141000
HP,Ryzen 7,16,256,RTX 4080,13.0,5,127000
Dell,Intel i5,16,512,RTX 4070,17.0,11,112000
Dell,Ryzen 7,4,512,Integrated,15.6,7,73000
HP,Intel i9,32,1024,RTX 4070,15.6,9,189000
Apple,Intel i3,8,512,GTX 1650,14.0,11,96000
MSI,Intel i5,16,256,RTX 4090,15.6,4,117000
Dell,Intel i3,8,256,RTX 4080,15.6,10,81000
Dell,Ryzen 3,32,1024,RTX 3050,15.6,4,129000
Lenovo,Intel i3,16,512,RTX 3050,15.6,7,87000
Asus,Ryzen 9,8,2048,RTX 4080,13.0,8,166000
Acer,Ryzen 7,32,256,RTX 4070,15.6,8,154000
MSI,Ryzen 3,32,1024,RTX 4090,15.6,4,149000
Dell,Ryzen 5,4,2048,GTX 1650,15.6,12,103000
Acer,Ryzen 3,32,1024,Integrated,13.0,4,109000
Lenovo,Intel i9,4,2048,Integrated,14.0,12,123000
MSI,Ryzen 5,8,256,RTX 3050,13.0,10,81000
HP,Ryzen 9,32,256,RTX 3050,15.6,7,164000
Dell,Ryzen 3,8,1024,RTX 4090,14.0,10,101000
Asus,Ryzen 7,8,2048,RTX 4060,14.0,9,136000
MSI,Ryzen 3,16,256,RTX 4090,14.0,4,102000
Dell,Intel i9,4,1024,RTX 4090,16.0,11,143000
MSI,Ryzen 9,8,512,RTX 4090,16.0,9,141000
Acer,Intel i9,16,2048,GTX 1650,16.0,7,162000
HP,Intel i5,16,512,RTX 3050,17.0,7,102000
Acer,Ryzen 7,4,512,Integrated,13.0,6,73000
Lenovo,Intel i3,32,256,RTX 4090,14.0,11,134000
Dell,Intel i5,8,1024,RTX 4070,17.0,11,106000
Dell,Ryzen 7,16,512,RTX 4090,17.0,5,137000
HP,Intel i7,16,1024,RTX 4090,15.6,10,147000
Acer,Intel i7,8,2048,RTX 4090,15.6,10,151000
HP,Ryzen 3,32,256,Integrated,15.6,5,94000
Acer,Intel i3,8,2048,RTX 4090,15.6,10,121000
Dell,Ryzen 9,4,1024,Integrated,17.0,8,103000
MSI,Intel i3,16,256,RTX 4060,14.0,10,87000
Asus,Ryzen 3,4,256,Integrated,17.0,9,38000
Lenovo,Intel i5,4,1024,Integrated,14.0,8,68000
Dell,Ryzen 7,8,1024,Integrated,16.0,8,91000
Apple,Intel i7,8,1024,Integrated,16.0,12,121000
MSI,Ryzen 7,32,1024,Integrated,14.0,7,139000
Asus,Ryzen 5,32,2048,RTX 4070,13.0,9,174000
MSI,Intel i3,16,256,RTX 4060,16.0,5,87000
Dell,Ryzen 9,32,256,Integrated,15.6,4,144000
Lenovo,Ryzen 9,16,1024,RTX 4080,14.0,11,162000
Lenovo,Intel i9,32,1024,GTX 1650,17.0,8,174000
Apple,Ryzen 7,32,2048,GTX 1650,17.0,12,204000
Lenovo,Intel i7,8,1024,RTX 3050,13.0,4,111000
MSI,Intel i9,32,256,RTX 3050,15.6,5,164000
Asus,Ryzen 5,8,256,GTX 1650,15.6,6,76000
MSI,Ryzen 9,32,512,Integrated,16.0,9,149000
Lenovo,Ryzen 3,8,256,RTX 4090,17.0,7,86000
Dell,Ryzen 5,16,512,GTX 1650,16.0,6,97000
Dell,Intel i3,4,1024,Integrated,15.6,8,53000
HP,Intel i9,8,256,RTX 3050,17.0,4,116000
Lenovo,Intel i7,4,2048,RTX 3050,15.6,7,123000
Dell,Ryzen 7,8,512,RTX 4090,16.0,10,121000
HP,Ryzen 7,16,2048,GTX 1650,15.6,5,142000
Dell,Intel i9,8,256,RTX 4060,17.0,12,121000
Apple,Intel i9,4,512,RTX 3050,14.0,8,143000
MSI,Intel i9,32,512,RTX 4060,14.0,7,174000
Asus,Intel i9,8,1024,RTX 4080,15.6,6,146000
Apple,Ryzen 9,4,1024,RTX 4080,14.0,7,168000
MSI,Ryzen 5,4,512,RTX 4090,16.0,10,98000
Acer,Ryzen 3,4,512,RTX 4090,17.0,6,83000
Acer,Ryzen 5,8,256,RTX 3050,15.6,7,81000
Lenovo,Ryzen 5,32,2048,RTX 4080,13.0,9,179000
MSI,Ryzen 3,16,1024,GTX 1650,14.0,7,92000
Acer,Ryzen 9,4,2048,RTX 4060,17.0,7,148000
HP,Ryzen 7,4,1024,RTX 4090,17.0,9,123000
Apple,Ryzen 9,32,256,GTX 1650,17.0,7,189000
HP,Intel i3,8,512,RTX 4060,13.0,8,76000
Dell,Intel i7,16,1024,RTX 3050,14.0,5,127000
Asus,Ryzen 3,32,512,RTX 4060,16.0,11,124000
Acer,Intel i7,4,2048,GTX 1650,13.0,7,118000
Lenovo,Ryzen 7,16,512,GTX 1650,14.0,5,112000
Acer,Intel i7,8,256,RTX 4090,17.0,8,116000
MSI,Ryzen 3,16,256,RTX 4080,13.0,11,97000
Acer,Ryzen 3,32,512,RTX 3050,15.6,6,119000
Lenovo,Ryzen 9,16,2048,RTX 4070,16.0,7,177000
Acer,Ryzen 9,8,512,RTX 4070,13.0,4,131000
Lenovo,Ryzen 5,16,256,RTX 4060,17.0,11,102000
Asus,Ryzen 3,32,2048,RTX 4080,13.0,5,164000
MSI,Intel i9,8,256,GTX 1650,15.6,5,111000
Acer,Ryzen 5,16,256,Integrated,15.6,9,77000
MSI,Ryzen 3,32,512,RTX 4060,16.0,11,124000
Apple,Ryzen 7,32,256,RTX 4060,16.0,4,179000
MSI,Intel i5,8,1024,RTX 4070,14.0,5,106000
Apple,Intel i3,32,512,GTX 1650,14.0,4,144000
Apple,Ryzen 3,8,2048,RTX 4080,17.0,6,146000
Asus,Ryzen 7,4,1024,RTX 4080,17.0,6,118000
Acer,Ryzen 7,8,1024,GTX 1650,14.0,6,106000
Dell,Ryzen 5,32,1024,RTX 4070,14.0,6,154000
HP,Ryzen 3,4,512,RTX 3050,17.0,11,63000
MSI,Ryzen 7,16,512,RTX 4060,17.0,7,122000
MSI,Intel i3,4,512,RTX 3050,15.6,4,63000
Lenovo,Intel i5,4,256,RTX 3050,16.0,8,73000
Lenovo,Ryzen 5,32,512,Integrated,17.0,9,114000
HP,Intel i7,8,2048,RTX 4070,15.6,6,141000
Lenovo,Ryzen 5,32,256,RTX 4070,14.0,8,139000
HP,Intel i3,4,512,Integrated,13.0,11,43000
Asus,Ryzen 3,8,1024,RTX 4080,14.0,12,96000
Acer,Intel i9,8,2048,Integrated,16.0,6,131000
HP,Ryzen 3,32,2048,RTX 4060,13.0,7,154000
MSI,Intel i5,4,2048,RTX 4070,15.6,4,118000
Lenovo,Ryzen 9,32,2048,RTX 4060,16.0,11,204000
Asus,Ryzen 3,32,1024,Integrated,15.6,11,109000
Acer,Intel i3,8,512,GTX 1650,15.6,11,66000
Acer,Ryzen 5,4,1024,RTX 4070,14.0,5,98000
